student_id,fakultas_code,norm_wellbeing,norm_pressure,norm_social,norm_career,cluster_label,pca_dim1,pca_dim2
MHS-00385,0,0.52,0.54,0.52,0.49,3,-0.226,-0.085
MHS-00386,2,0.75,0.55,0.85,0.84,4,0.47,-0.032
MHS-00387,0,0.61,0.53,0.66,0.27,2,0.287,-0.713
MHS-00388,1,0.5,0.88,0.54,0.48,1,-0.646,-0.022
MHS-00389,1,0.48,0.53,0.56,0.47,2,0.026,-0.148
MHS-00390,4,0.47,0.87,0.65,0.49,1,-0.695,-0.539
MHS-00391,3,0.4,0.76,0.49,0.52,1,-0.705,-0.079
MHS-00392,0,0.56,0.72,0.47,0.52,3,-0.268,0.142
MHS-00393,3,0.67,0.45,0.82,0.76,4,0.441,-0.164
MHS-00394,5,0.58,0.56,0.56,0.58,3,0.149,-0.069
MHS-00395,5,0.66,0.56,0.62,0.36,2,0.128,-0.51
MHS-00396,5,0.72,0.62,0.75,0.76,4,0.104,0.008
MHS-00397,4,0.5,0.74,0.61,0.57,1,-0.565,-0.036
MHS-00398,3,0.52,0.47,0.5,0.51,2,-0.197,0.05
MHS-00399,0,0.51,0.54,0.48,0.7,3,-0.016,0.426
MHS-00400,0,0.61,0.45,0.52,0.36,2,0.364,-0.319
MHS-00401,0,0.55,0.78,0.6,0.54,1,-0.323,-0.133
MHS-00402,5,0.47,0.51,0.51,0.53,3,0.056,-0.146
MHS-00403,4,0.54,0.75,0.25,0.57,3,-0.42,0.642
MHS-00404,4,0.61,0.81,0.5,0.58,1,-0.464,-0.055
MHS-00405,2,0.48,0.51,0.31,0.54,3,-0.158,0.489
MHS-00406,2,0.52,0.9,0.46,0.48,1,-0.766,0.164
MHS-00407,1,0.75,0.54,0.73,0.8,4,0.291,0.172
MHS-00408,5,0.5,0.83,0.37,0.32,1,-0.544,-0.133
MHS-00409,2,0.5,0.76,0.64,0.58,1,-0.612,-0.106
MHS-00410,3,0.73,0.65,0.72,0.57,4,0.207,-0.349
MHS-00411,0,0.48,0.93,0.57,0.55,1,-0.743,-0.237
MHS-00412,4,0.71,0.51,0.93,0.64,4,0.411,-0.699
MHS-00413,4,0.58,0.55,0.53,0.42,2,0.171,-0.353
MHS-00414,5,0.65,0.66,0.61,0.44,2,-0.083,-0.217
MHS-00415,2,0.42,0.8,0.44,0.53,1,-0.906,0.261
MHS-00416,5,0.5,0.65,0.41,0.34,2,-0.309,-0.067
MHS-00417,0,0.54,0.63,0.66,0.42,2,0.015,-0.485
MHS-00418,4,0.47,0.48,0.34,0.67,3,0.016,0.72
MHS-00419,2,0.49,0.78,0.54,0.45,1,-0.435,-0.041
MHS-00420,2,0.79,0.55,0.77,0.7,4,0.317,-0.127
MHS-00421,1,0.71,0.5,0.76,0.7,4,0.245,-0.205
MHS-00422,2,0.51,0.86,0.52,0.58,1,-0.654,-0.112
MHS-00423,1,0.67,0.44,0.87,0.87,4,0.454,-0.166
MHS-00424,0,0.45,0.84,0.63,0.48,1,-0.776,-0.342
MHS-00425,1,0.54,0.91,0.6,0.47,1,-0.61,-0.12
MHS-00426,4,0.39,0.68,0.5,0.6,1,-0.428,0.171
MHS-00427,4,0.38,0.75,0.48,0.44,1,-0.734,-0.037
MHS-00428,1,0.54,0.62,0.71,0.44,2,0.066,-0.528
MHS-00429,1,0.74,0.46,0.73,0.76,4,0.451,0.128
MHS-00430,2,0.64,0.71,0.55,0.48,2,-0.318,-0.159
MHS-00431,2,0.47,0.56,0.32,0.5,3,-0.146,0.435
MHS-00432,0,0.45,0.57,0.34,0.54,3,0.025,0.437
MHS-00433,0,0.64,0.66,0.65,0.44,2,-0.108,-0.254
MHS-00434,1,0.62,0.49,0.72,0.87,4,0.362,0.349
MHS-00435,5,0.56,0.69,0.56,0.48,1,-0.413,-0.103
MHS-00436,3,0.34,0.85,0.32,0.48,1,-0.966,0.297
MHS-00437,2,0.75,0.35,0.86,0.8,4,0.846,-0.173
MHS-00438,0,0.43,0.76,0.58,0.57,1,-0.531,-0.046
MHS-00439,3,0.74,0.41,0.8,0.68,4,0.969,-0.383
MHS-00440,1,0.6,0.66,0.33,0.44,3,-0.254,0.168
MHS-00441,5,0.68,0.51,0.69,0.45,2,0.233,-0.47
MHS-00442,5,0.56,0.55,0.64,0.5,2,-0.142,-0.395
MHS-00443,3,0.39,0.8,0.59,0.42,1,-0.866,-0.296
MHS-00444,5,0.56,0.71,0.55,0.64,1,-0.427,0.182
MHS-00445,0,0.44,0.72,0.45,0.64,3,-0.549,0.403
MHS-00446,3,0.48,0.83,0.5,0.45,1,-0.73,-0.124
MHS-00447,5,0.78,0.54,0.82,0.71,4,0.576,-0.259
MHS-00448,0,0.54,0.45,0.61,0.46,2,0.224,-0.311
MHS-00449,5,0.7,0.44,0.74,0.73,4,0.479,0.004
MHS-00450,1,0.44,0.68,0.29,0.43,3,-0.511,0.33
MHS-00451,2,0.69,0.48,0.7,0.96,4,0.274,0.588
MHS-00452,2,0.44,0.59,0.39,0.39,3,-0.428,0.097
MHS-00453,2,0.68,0.4,0.86,0.73,4,0.744,-0.235
MHS-00454,1,0.48,0.72,0.2,0.51,3,-0.436,0.685
MHS-00455,4,0.76,0.52,0.76,0.83,4,0.428,0.242
MHS-00456,5,0.68,0.52,0.63,0.4,2,0.284,-0.479
MHS-00457,0,0.48,0.74,0.58,0.44,1,-0.532,-0.289
MHS-00458,1,0.7,0.5,0.89,0.76,4,0.486,-0.137
MHS-00459,3,0.89,0.43,0.76,0.72,4,0.948,-0.049
MHS-00460,5,0.57,0.64,0.46,0.62,3,-0.248,0.278
MHS-00461,0,0.53,0.72,0.37,0.52,3,-0.432,0.18
MHS-00462,5,0.41,0.85,0.57,0.58,1,-0.742,0.009
MHS-00463,1,0.71,0.47,0.94,0.78,4,0.509,-0.359
MHS-00464,0,0.65,0.76,0.65,0.41,1,-0.258,-0.374
MHS-00465,4,0.57,0.54,0.49,0.4,2,0.158,-0.06
MHS-00466,2,0.37,0.76,0.59,0.53,1,-0.795,-0.009
MHS-00467,2,0.86,0.5,0.7,0.58,4,0.793,-0.306
MHS-00468,4,0.63,0.45,0.87,0.68,4,0.485,-0.407
MHS-00469,5,0.93,0.5,0.76,0.82,4,0.776,0.232
MHS-00470,3,0.57,0.8,0.59,0.41,1,-0.446,-0.27
MHS-00471,5,0.66,0.69,0.5,0.42,2,0.092,0.057
MHS-00472,4,0.71,0.54,0.81,0.78,4,0.259,-0.258
MHS-00473,4,0.6,0.53,0.81,0.62,4,-0.016,-0.413
MHS-00474,3,0.5,0.78,0.61,0.53,1,-0.366,-0.246
MHS-00475,4,0.73,0.59,0.84,0.77,4,0.289,-0.068
MHS-00476,4,0.42,0.71,0.28,0.59,3,-0.54,0.711
MHS-00477,2,0.6,0.64,0.44,0.55,2,0.088,0.208
MHS-00478,2,0.68,0.71,0.61,0.45,1,-0.038,-0.455
MHS-00479,4,0.74,0.38,0.89,0.7,4,0.522,-0.325
MHS-00480,3,0.76,0.55,0.82,0.73,4,0.352,-0.129
MHS-00481,4,0.67,0.48,0.77,0.72,4,0.227,-0.052
MHS-00482,3,0.51,0.63,0.53,0.47,1,-0.444,-0.059
MHS-00483,5,0.78,0.43,0.74,0.84,4,0.832,0.285
MHS-00484,4,0.6,0.68,0.34,0.36,3,-0.101,0.057
MHS-00485,5,0.69,0.48,0.64,0.47,2,0.388,-0.593
MHS-00486,2,0.65,0.75,0.62,0.43,2,-0.382,-0.378
MHS-00487,3,0.44,0.62,0.33,0.5,3,-0.356,0.466
MHS-00488,5,0.36,0.56,0.42,0.59,3,-0.271,0.367
MHS-00489,1,0.48,0.64,0.57,0.74,3,-0.36,0.216
MHS-00490,2,0.63,0.59,0.36,0.59,3,0.152,0.308
MHS-00491,2,0.84,0.49,0.91,0.84,4,0.709,-0.107
MHS-00492,4,0.59,0.6,0.48,0.64,3,-0.07,0.432
MHS-00493,5,0.73,0.49,0.71,0.7,4,0.534,-0.069
MHS-00494,5,0.59,0.63,0.48,0.47,2,-0.106,-0.004
MHS-00495,2,0.59,0.54,0.54,0.34,2,-0.062,-0.453
MHS-00496,1,0.43,0.88,0.36,0.43,1,-0.799,0.086
MHS-00497,4,0.62,0.6,0.66,0.51,2,-0.101,-0.215
MHS-00498,1,0.72,0.58,0.76,0.83,4,0.291,0.105
MHS-00499,1,0.51,0.75,0.47,0.58,1,-0.37,0.095
MHS-00500,1,0.75,0.47,0.71,0.78,4,0.52,0.255
MHS-00501,4,0.46,0.83,0.56,0.55,1,-0.805,-0.02
MHS-00502,0,0.74,0.36,0.8,0.69,4,0.607,-0.18
MHS-00503,0,0.68,0.62,0.33,0.48,3,0.256,0.403
MHS-00504,1,0.89,0.47,0.76,0.69,4,0.795,-0.042
MHS-00505,4,0.51,0.87,0.66,0.53,1,-0.796,-0.284
MHS-00506,2,0.79,0.36,0.83,0.8,4,0.712,-0.033
MHS-00507,4,0.55,0.84,0.59,0.61,1,-0.613,0.098
MHS-00508,4,0.77,0.42,0.92,0.67,4,0.798,-0.554
MHS-00509,1,0.52,0.48,0.56,0.45,2,0.075,-0.125
MHS-00510,3,0.54,0.78,0.59,0.46,1,-0.546,-0.171
MHS-00511,5,0.49,0.71,0.57,0.54,1,-0.363,-0.023
MHS-00512,3,0.53,0.56,0.62,0.48,2,-0.008,-0.403
MHS-00513,5,0.63,0.51,0.74,0.72,4,0.137,-0.092
MHS-00514,3,0.4,0.64,0.4,0.53,3,-0.413,0.102
MHS-00515,4,0.46,0.6,0.74,0.51,2,-0.207,-0.361
MHS-00516,4,0.53,0.57,0.59,0.37,2,0.182,-0.595
MHS-00517,0,0.42,0.55,0.47,0.45,3,-0.132,-0.039
MHS-00518,4,0.81,0.5,0.88,0.75,4,0.547,-0.194
MHS-00519,2,0.45,0.54,0.4,0.65,3,-0.144,0.463
MHS-00520,1,0.45,0.78,0.63,0.44,1,-0.755,-0.324
MHS-00521,4,0.69,0.4,0.84,0.82,4,0.633,0.085
MHS-00522,4,0.53,0.57,0.29,0.57,3,-0.222,0.495
MHS-00523,2,0.35,0.83,0.63,0.62,1,-0.927,-0.047
MHS-00524,4,0.56,0.39,0.72,0.49,2,0.244,-0.316
MHS-00525,2,0.49,0.59,0.61,0.35,2,-0.053,-0.598
MHS-00526,0,0.73,0.44,0.75,0.74,4,0.693,-0.0
MHS-00527,2,0.6,0.88,0.54,0.63,1,-0.734,0.047
MHS-00528,1,0.71,0.39,0.86,0.86,4,0.699,-0.07
MHS-00529,3,0.59,0.96,0.6,0.59,1,-0.749,-0.08
MHS-00530,0,0.51,0.59,0.36,0.72,3,-0.213,0.877
MHS-00531,1,0.68,0.44,0.77,0.65,4,0.509,-0.334
MHS-00532,2,0.38,0.56,0.7,0.49,2,-0.303,-0.49
MHS-00533,5,0.57,0.88,0.44,0.6,1,-0.604,0.2
MHS-00534,0,0.56,0.61,0.39,0.58,3,-0.014,0.446
MHS-00535,4,0.46,0.87,0.58,0.52,1,-0.833,-0.169
MHS-00536,1,0.84,0.54,0.88,0.67,4,0.559,-0.279
MHS-00537,5,0.22,0.89,0.56,0.39,1,-1.185,-0.262
MHS-00538,3,0.56,0.62,0.68,0.42,2,-0.09,-0.425
MHS-00539,0,0.57,0.68,0.27,0.62,3,-0.183,0.708
MHS-00540,0,0.76,0.44,0.68,0.74,4,0.692,0.193
MHS-00541,3,0.7,0.6,0.63,0.34,2,0.086,-0.478
MHS-00542,2,0.83,0.52,0.87,0.73,4,0.662,-0.291
MHS-00543,5,0.53,0.61,0.24,0.61,3,-0.016,0.71
MHS-00544,5,0.55,0.62,0.58,0.35,2,-0.118,-0.455
MHS-00545,3,0.76,0.53,0.83,0.62,4,0.625,-0.359
MHS-00546,5,0.58,0.91,0.5,0.44,1,-0.636,-0.132
MHS-00547,5,0.42,0.74,0.57,0.5,1,-0.558,-0.114
MHS-00548,0,0.71,0.47,0.67,0.66,4,0.453,-0.044
MHS-00549,0,0.4,0.94,0.54,0.43,1,-1.035,-0.384
MHS-00550,5,0.47,0.65,0.43,0.64,3,-0.355,0.552
MHS-00551,3,0.5,0.71,0.51,0.55,1,-0.28,0.01
MHS-00552,1,0.47,0.74,0.4,0.49,3,-0.642,0.165
MHS-00553,0,0.74,0.44,0.84,0.82,4,0.539,-0.063
MHS-00554,4,0.86,0.44,0.95,0.56,4,0.797,-0.848
MHS-00555,1,0.51,0.7,0.63,0.5,1,-0.29,-0.228
MHS-00556,0,0.47,0.93,0.61,0.46,1,-0.895,-0.412
MHS-00557,1,0.58,0.74,0.49,0.48,1,-0.341,0.02
MHS-00558,3,0.81,0.4,0.81,0.82,4,0.919,-0.028
MHS-00559,1,0.66,0.69,0.47,0.27,2,-0.134,-0.434
MHS-00560,2,0.39,0.83,0.55,0.46,1,-0.672,-0.244
MHS-00561,1,0.44,0.6,0.29,0.63,3,-0.215,0.69
MHS-00562,1,0.76,0.54,0.83,0.92,4,0.549,0.208
MHS-00563,0,0.85,0.48,0.65,0.75,4,0.725,0.194
MHS-00564,0,0.8,0.44,0.76,0.85,4,0.778,0.274
MHS-00565,5,0.31,0.51,0.33,0.58,3,-0.477,0.581
MHS-00566,0,0.51,0.59,0.43,0.53,3,-0.204,0.07
MHS-00567,0,0.53,0.73,0.32,0.53,3,-0.492,0.524
MHS-00568,1,0.62,0.69,0.73,0.49,2,-0.054,-0.405
MHS-00569,1,0.58,0.36,0.83,0.86,4,0.335,0.058
MHS-00570,3,0.41,0.88,0.39,0.51,1,-0.866,0.011
MHS-00571,0,0.78,0.44,0.86,0.68,4,0.726,-0.373
MHS-00572,5,0.54,0.51,0.68,0.37,2,-0.035,-0.831
MHS-00573,0,0.46,0.66,0.67,0.44,2,-0.463,-0.541
MHS-00574,4,0.53,0.54,0.51,0.37,2,0.099,-0.15
MHS-00575,0,0.47,0.91,0.68,0.49,1,-0.746,-0.418
MHS-00576,5,0.43,0.8,0.6,0.63,1,-0.656,0.082
MHS-00577,2,0.47,0.87,0.53,0.51,1,-0.858,-0.055
MHS-00578,3,0.65,0.56,0.57,0.44,2,0.16,-0.532
MHS-00579,4,0.55,0.51,0.57,0.62,2,0.17,0.04
MHS-00580,2,0.48,0.44,0.44,0.65,3,0.097,0.512
MHS-00581,2,0.53,0.56,0.48,0.41,2,0.028,-0.262
MHS-00582,4,0.83,0.44,0.69,0.74,4,0.897,0.257
MHS-00583,4,0.53,0.64,0.48,0.61,2,-0.514,0.368
MHS-00584,3,0.72,0.6,0.88,0.72,4,0.299,-0.285
MHS-00585,3,0.73,0.42,0.8,0.52,2,0.709,-0.613
MHS-00586,3,0.46,0.48,0.41,0.61,3,-0.003,0.324
MHS-00587,1,0.36,0.62,0.4,0.71,3,-0.463,0.522
MHS-00588,1,0.56,0.56,0.25,0.58,3,-0.265,0.672
MHS-00589,5,0.44,0.68,0.32,0.6,3,-0.594,0.676
MHS-00590,5,0.47,0.92,0.6,0.59,1,-0.915,0.083
MHS-00591,4,0.71,0.51,0.61,0.7,4,0.412,0.045
MHS-00592,2,0.44,0.88,0.63,0.4,1,-0.913,-0.415
MHS-00593,1,0.45,0.95,0.39,0.61,1,-0.988,0.504
MHS-00594,4,0.64,0.36,0.7,0.72,4,0.724,0.125
MHS-00595,4,0.69,0.46,0.7,0.85,4,0.641,0.333
MHS-00596,1,0.5,0.78,0.55,0.56,1,-0.551,-0.019
MHS-00597,4,0.76,0.43,0.91,0.82,4,0.659,-0.143
MHS-00598,1,0.5,0.48,0.42,0.55,3,0.203,0.364
MHS-00599,5,0.83,0.43,0.85,0.81,4,0.907,-0.003
MHS-00600,4,0.49,0.87,0.51,0.68,1,-0.733,0.455
MHS-00601,1,0.68,0.53,0.61,0.81,4,0.198,0.391
MHS-00602,2,0.72,0.54,0.7,0.72,4,0.461,0.098
MHS-00603,1,0.45,0.63,0.56,0.29,2,-0.537,-0.454
MHS-00604,5,0.82,0.28,0.79,0.74,4,0.944,-0.044
MHS-00605,1,0.53,0.88,0.51,0.5,1,-0.771,0.094
MHS-00606,5,0.86,0.56,0.78,0.67,4,0.537,-0.299
MHS-00607,3,0.51,0.55,0.55,0.44,2,-0.221,-0.218
MHS-00608,1,0.5,0.83,0.65,0.57,1,-0.58,-0.046
MHS-00609,1,0.59,0.88,0.56,0.37,1,-0.705,-0.384
MHS-00610,0,0.74,0.45,0.82,0.49,4,0.501,-0.582
MHS-00611,3,0.33,0.76,0.5,0.63,1,-0.99,0.369
MHS-00612,4,0.39,0.62,0.29,0.55,3,-0.471,0.653
MHS-00613,4,0.51,0.47,0.61,0.46,2,-0.016,-0.166
MHS-00614,2,0.53,0.77,0.61,0.56,1,-0.477,-0.027
MHS-00615,1,0.68,0.66,0.64,0.41,2,-0.154,-0.411
MHS-00616,2,0.55,0.58,0.34,0.47,3,-0.223,0.18
MHS-00617,2,0.44,0.75,0.41,0.51,1,-0.554,0.187
MHS-00618,2,0.53,0.61,0.41,0.53,3,-0.218,0.281
MHS-00619,0,0.88,0.54,0.86,0.78,4,0.721,-0.299
MHS-00620,3,0.6,0.51,0.56,0.42,2,0.12,-0.391
MHS-00621,5,0.69,0.39,0.83,0.82,4,0.465,-0.048
MHS-00622,2,0.66,0.5,0.73,0.67,4,0.316,-0.29
MHS-00623,3,0.62,0.54,0.89,0.67,4,0.241,-0.311
MHS-00624,2,0.48,0.86,0.69,0.54,1,-0.893,-0.244
MHS-00625,5,0.5,0.85,0.54,0.66,1,-0.588,0.214
MHS-00626,3,0.5,0.79,0.42,0.42,1,-0.378,0.129
MHS-00627,4,0.78,0.49,0.78,0.55,4,0.584,-0.409
MHS-00628,1,0.7,0.55,0.69,0.82,4,0.42,0.496
MHS-00629,0,0.57,0.7,0.54,0.44,2,-0.365,-0.434
MHS-00630,0,0.83,0.43,0.76,0.59,4,0.81,-0.372
MHS-00631,5,0.73,0.4,0.71,0.81,4,0.588,0.184
MHS-00632,2,0.78,0.61,0.78,0.36,2,0.282,-0.651
MHS-00633,0,0.41,0.84,0.59,0.41,1,-0.839,-0.474
MHS-00634,0,0.82,0.42,0.64,0.82,4,0.896,0.402
MHS-00635,5,0.69,0.43,0.75,0.61,4,0.515,-0.286
MHS-00636,5,0.44,0.91,0.59,0.55,1,-1.14,0.046
MHS-00637,2,0.6,0.56,0.66,0.53,2,0.013,-0.186
MHS-00638,4,0.63,0.51,0.63,0.44,2,0.29,-0.233
MHS-00639,2,0.41,0.86,0.54,0.55,1,-0.921,-0.085
MHS-00640,1,0.64,0.49,0.89,0.82,4,0.222,-0.068
MHS-00641,1,0.51,0.96,0.54,0.46,1,-0.919,-0.085
MHS-00642,0,0.56,0.57,0.34,0.49,3,0.079,0.284
MHS-00643,4,0.41,0.87,0.52,0.5,1,-0.899,0.178
MHS-00644,0,0.95,0.38,0.69,0.66,4,0.938,0.127
MHS-00645,1,0.61,0.74,0.42,0.59,3,-0.201,0.404
MHS-00646,2,0.52,0.65,0.42,0.59,3,-0.161,0.244
MHS-00647,3,0.75,0.52,0.85,0.69,4,0.362,-0.469
MHS-00648,5,0.51,0.86,0.61,0.53,1,-0.608,-0.232
MHS-00649,5,0.68,0.59,0.58,0.45,2,0.203,-0.182
MHS-00650,1,0.75,0.31,0.69,0.69,4,0.975,0.204
MHS-00651,5,0.44,0.82,0.51,0.57,1,-0.717,0.1
MHS-00652,5,0.66,0.61,0.59,0.35,2,0.086,-0.454
MHS-00653,4,0.31,0.67,0.55,0.57,3,-0.694,-0.037
MHS-00654,2,0.75,0.35,0.77,0.71,4,0.829,-0.152
MHS-00655,5,0.83,0.57,0.77,0.87,4,0.571,0.045
MHS-00656,2,0.84,0.39,0.77,0.76,4,0.84,0.031
MHS-00657,5,0.57,0.66,0.34,0.61,3,-0.241,0.634
MHS-00658,4,0.46,0.77,0.43,0.52,1,-0.462,0.266
MHS-00659,3,0.7,0.58,0.6,0.49,2,0.267,-0.206
MHS-00660,2,0.44,0.83,0.49,0.43,1,-0.778,-0.138
MHS-00661,3,0.62,0.49,0.81,0.71,4,0.117,-0.158
MHS-00662,1,0.48,0.82,0.41,0.54,3,-0.689,0.409
MHS-00663,3,0.65,0.6,0.73,0.44,2,0.094,-0.741
MHS-00664,5,0.62,0.49,0.54,0.24,2,0.272,-0.588
MHS-00665,5,0.69,0.84,0.58,0.47,1,-0.192,-0.385
MHS-00666,0,0.61,0.69,0.43,0.64,3,-0.268,0.459
MHS-00667,3,0.42,0.83,0.5,0.66,1,-0.928,0.205
MHS-00668,2,0.83,0.35,0.71,0.68,4,0.8,-0.073
MHS-00669,0,0.89,0.36,0.8,0.76,4,1.255,0.002
MHS-00670,5,0.48,0.61,0.68,0.41,2,-0.277,-0.651
MHS-00671,5,0.47,0.59,0.54,0.27,2,-0.257,-0.638
MHS-00672,1,0.68,0.55,0.56,0.5,2,0.358,-0.061
MHS-00673,3,0.53,0.89,0.6,0.33,1,-0.702,-0.534
MHS-00674,0,0.73,0.49,0.87,0.59,4,0.443,-0.594
MHS-00675,4,0.47,0.89,0.53,0.53,1,-0.745,-0.097
MHS-00676,0,0.66,0.88,0.61,0.32,1,-0.391,-0.818
MHS-00677,2,0.79,0.46,0.68,0.62,4,0.549,-0.077
MHS-00678,1,0.85,0.52,0.77,0.77,4,0.85,0.008
MHS-00679,3,0.56,0.64,0.6,0.56,2,-0.063,0.056
MHS-00680,3,0.59,0.74,0.54,0.48,2,-0.28,-0.278
MHS-00681,3,0.56,0.65,0.26,0.65,3,-0.257,0.659
MHS-00682,4,0.86,0.5,0.77,0.62,4,0.667,-0.415
MHS-00683,4,0.57,0.42,0.68,0.44,2,0.171,-0.644
MHS-00684,5,0.43,0.56,0.29,0.7,3,-0.269,0.846
MHS-00685,2,0.55,0.47,0.79,0.61,2,0.125,-0.276
MHS-00686,2,0.66,0.64,0.32,0.56,3,0.13,0.516
MHS-00687,2,0.48,0.63,0.35,0.54,3,-0.286,0.545
MHS-00688,1,0.45,0.43,0.3,0.44,3,0.074,0.125
MHS-00689,4,0.47,0.52,0.38,0.65,3,-0.154,0.556
MHS-00690,1,0.55,0.61,0.58,0.45,2,-0.251,-0.282
MHS-00691,3,0.45,0.65,0.29,0.58,3,-0.375,0.53
MHS-00692,0,0.46,0.77,0.5,0.36,1,-0.625,-0.52
MHS-00693,4,0.68,0.56,0.58,0.46,2,0.303,-0.183
MHS-00694,3,0.57,0.61,0.7,0.54,2,-0.04,-0.139
MHS-00695,4,0.63,0.65,0.67,0.37,2,-0.091,-0.517
MHS-00696,3,0.78,0.42,0.87,0.82,4,0.638,0.06
MHS-00697,5,0.45,0.65,0.3,0.64,3,-0.349,0.712
MHS-00698,5,0.38,0.71,0.5,0.62,1,-0.823,0.196
MHS-00699,5,0.62,0.44,0.78,0.73,4,0.412,0.081
MHS-00700,4,0.73,0.44,0.73,0.72,4,0.686,-0.004
MHS-00701,0,0.62,0.54,0.61,0.47,2,0.158,-0.237
MHS-00702,0,0.53,0.62,0.56,0.39,2,-0.224,-0.247
MHS-00703,4,0.47,0.7,0.65,0.47,2,-0.704,-0.367
MHS-00704,5,0.43,0.91,0.56,0.52,1,-0.814,-0.114
MHS-00705,0,0.34,0.77,0.52,0.59,1,-1.063,0.348
MHS-00706,0,0.67,0.44,0.87,0.69,4,0.425,-0.41
MHS-00707,2,0.53,0.78,0.54,0.64,1,-0.512,0.258
MHS-00708,5,0.53,0.63,0.33,0.43,3,-0.38,0.195
MHS-00709,2,0.86,0.42,0.92,0.72,4,0.82,-0.307
MHS-00710,3,0.62,0.63,0.37,0.57,3,-0.202,0.51
MHS-00711,0,0.76,0.36,0.82,0.62,4,0.752,-0.383
MHS-00712,5,0.68,0.53,0.68,0.83,4,0.4,0.258
MHS-00713,0,0.54,0.82,0.61,0.48,1,-0.548,-0.144
MHS-00714,1,0.54,0.77,0.6,0.38,2,-0.566,-0.489
MHS-00715,0,0.44,0.53,0.33,0.48,3,-0.188,0.43
MHS-00716,5,0.34,0.79,0.59,0.63,1,-1.126,0.147
MHS-00717,3,0.52,0.61,0.45,0.54,3,-0.273,0.2
MHS-00718,3,0.8,0.42,0.78,0.82,4,0.655,0.257
MHS-00719,1,0.81,0.45,0.72,0.55,4,0.849,-0.286
MHS-00720,2,0.46,0.82,0.6,0.34,1,-0.537,-0.568
MHS-00721,3,0.7,0.45,0.89,0.78,4,0.692,-0.029
MHS-00722,0,0.63,0.57,0.75,0.6,4,0.094,-0.326
MHS-00723,3,0.43,0.59,0.35,0.6,3,-0.328,0.488
MHS-00724,5,0.62,0.44,0.56,0.39,2,0.319,-0.365
MHS-00725,1,0.45,0.71,0.64,0.37,1,-0.537,-0.647
MHS-00726,5,0.48,0.79,0.51,0.59,1,-0.674,0.146
MHS-00727,5,0.52,0.55,0.71,0.42,2,-0.006,-0.696
MHS-00728,0,0.35,1.0,0.51,0.47,1,-1.396,-0.346
MHS-00729,3,0.44,0.71,0.48,0.55,3,-0.384,-0.014
MHS-00730,1,0.68,0.54,0.58,0.35,2,0.366,-0.486
MHS-00731,0,0.77,0.5,0.87,0.73,4,0.607,-0.196
MHS-00732,2,0.56,0.58,0.43,0.57,3,-0.058,0.191
MHS-00733,0,0.5,0.63,0.47,0.43,3,-0.192,-0.14
MHS-00734,4,0.4,0.84,0.51,0.55,1,-0.74,0.259
MHS-00735,5,0.78,0.53,0.72,0.81,4,0.332,0.078
MHS-00736,1,0.61,0.64,0.57,0.39,2,-0.022,-0.533
MHS-00737,2,0.53,0.68,0.47,0.49,3,-0.342,0.127
MHS-00738,4,0.73,0.36,0.79,0.82,4,0.798,0.251
MHS-00739,2,0.52,0.75,0.45,0.35,2,-0.459,-0.284
MHS-00740,3,0.5,0.64,0.3,0.57,3,-0.251,0.458
MHS-00741,0,0.6,0.65,0.57,0.38,2,-0.139,-0.392
MHS-00742,2,0.58,0.63,0.55,0.51,2,-0.16,0.094
MHS-00743,5,0.48,0.74,0.66,0.57,3,-0.538,-0.09
MHS-00744,5,0.9,0.41,0.8,0.72,4,1.004,0.005
MHS-00745,3,0.44,0.58,0.62,0.31,2,-0.22,-0.707
MHS-00746,1,0.68,0.5,0.81,0.72,4,0.542,-0.169
MHS-00747,5,0.71,0.53,0.76,0.66,4,0.337,-0.211
MHS-00748,4,0.73,0.78,0.41,0.46,1,-0.196,0.178
MHS-00749,0,0.56,0.88,0.38,0.57,1,-0.558,0.548
MHS-00750,1,0.55,0.62,0.44,0.53,3,-0.109,0.195
MHS-00751,0,0.57,0.75,0.34,0.6,3,-0.364,0.421
MHS-00752,5,0.8,0.61,0.74,0.87,4,0.503,0.21
MHS-00753,0,0.55,0.54,0.66,0.44,2,-0.197,-0.476
MHS-00754,3,0.65,0.48,0.79,0.67,4,0.366,-0.336
MHS-00755,3,0.8,0.39,0.84,0.84,4,0.873,0.118
MHS-00756,5,0.63,0.58,0.66,0.39,2,0.049,-0.692
MHS-00757,0,0.23,0.83,0.3,0.43,1,-1.25,0.357
MHS-00758,5,0.39,0.81,0.66,0.57,1,-0.893,-0.141
MHS-00759,3,0.47,0.94,0.62,0.61,1,-1.011,-0.042
MHS-00760,0,0.85,0.57,0.82,0.69,4,0.463,-0.282
MHS-00761,1,0.49,0.7,0.59,0.58,1,-0.449,-0.009
MHS-00762,5,0.38,0.6,0.36,0.54,3,-0.268,0.365
MHS-00763,3,0.82,0.42,0.8,0.77,4,0.853,0.079
MHS-00764,1,0.58,0.72,0.57,0.47,1,-0.245,-0.281
MHS-00765,1,0.36,0.48,0.31,0.63,3,-0.193,0.73
MHS-00766,5,0.51,0.65,0.75,0.49,2,-0.263,-0.437
MHS-00767,4,0.53,0.61,0.14,0.52,3,-0.389,0.594
MHS-00768,5,0.66,0.26,0.77,0.67,4,0.817,-0.192
MHS-00769,5,0.66,0.49,0.79,0.64,4,0.343,-0.351
